date,siteCount
2025-06-14,2844
2025-06-15,2849
2025-06-16,2864
2025-06-17,2870
2025-06-18,2882
2025-06-19,2889
2025-06-20,2838
2025-06-21,2903
2025-06-22,2918
2025-06-23,2919
2025-06-24,2929
2025-06-25,2936
2025-06-26,2923
2025-06-27,2921
2025-06-28,2962
2025-06-29,2932
2025-06-30,2973
2025-07-01,2487
2025-07-02,2984
2025-07-03,2984
2025-07-04,2990
2025-07-05,2962
2025-07-06,3004
2025-07-07,3008
2025-07-08,3001
2025-07-09,2842
2025-07-10,2961
2025-07-11,3014
2025-07-12,3010
2025-07-13,3008
2025-07-14,3004
2025-07-15,3016
2025-07-16,3015
2025-10-19,3487
2025-10-20,3497
2025-10-21,3513
2025-10-22,3534
2025-10-23,3541
2025-10-24,3546
2025-10-25,3548
2025-10-26,3552
2025-10-27,3552
2025-10-28,3546
2025-10-29,3553
2025-10-30,3556
2025-10-31,3398
2025-11-01,3400
2025-11-02,3406
2025-11-03,3417
2025-11-04,3421
2025-11-05,3435
2025-11-06,3439
2025-11-07,3339
2025-11-08,3441
2025-11-09,3445
2025-11-10,3452
2025-11-11,3456
2025-11-12,3462
2025-11-13,3466
2025-11-14,3473
2025-11-15,3483
2025-11-16,3488
2025-11-17,3469
2025-11-18,3493
2025-11-20,3511
2025-11-21,3527
2025-11-22,3537
2025-11-23,3552
2025-11-24,3556
2025-11-25,3540
2025-11-26,3550
2025-11-27,3568
2025-11-28,3576
2025-11-29,3541
2025-11-30,3602
2025-12-01,3609
2025-12-02,3770
2025-12-03,3785
2025-12-04,3787
2025-12-05,3788
2025-12-06,3801
2025-12-07,3796
2025-12-08,3808
2025-12-09,3823
2025-12-10,3844
2025-12-11,3860
2026-01-10,3706
2026-01-11,3992
2026-01-12,4084
2026-01-13,4164
2026-01-14,4196
2026-01-15,4248
2026-01-16,4306
2026-01-17,4338
2026-01-18,4353
2026-01-19,4381
2026-01-20,1839
2026-01-20,2563
2026-01-21,4415
2026-01-22,4434
2026-01-23,4454
2026-01-24,4476
2026-01-25,4490
2026-01-26,4371
2026-01-27,4493
2026-01-28,4454
2026-01-29,4473
2026-01-30,4485
2026-01-31,4382
2026-02-01,3781
2026-02-02,4458
2026-02-03,4367
2026-02-04,4501
2026-02-05,4504
2026-02-06,4525
2026-02-07,4527
2026-02-08,4542
2026-02-09,4540
2026-02-10,4552
2026-02-11,4578
2026-02-12,4629
2026-02-13,4675
2026-02-14,4686
2026-02-15,4683
2026-02-16,4823
2026-02-17,4778
