date,siteCount
2025-06-07,60
2025-06-08,60
2025-06-09,60
2025-06-10,60
2025-06-11,60
2025-06-12,60
2025-06-13,60
2025-06-14,60
2025-06-15,60
2025-06-16,60
2025-06-17,60
2025-06-18,60
2025-06-19,60
2025-06-20,60
2025-06-21,60
2025-06-22,60
2025-06-23,60
2025-06-24,60
2025-06-25,60
2025-06-26,60
2025-06-27,60
2025-06-28,60
2025-06-29,60
2025-06-30,60
2025-07-01,60
2025-07-02,60
2025-07-03,60
2025-07-04,60
2025-07-05,60
2025-07-06,60
2025-07-07,60
2025-07-08,60
2025-07-09,60
2025-07-10,60
2025-07-11,60
2025-07-12,60
2025-07-13,60
2025-07-14,60
2025-07-15,60
2025-07-16,60
2025-07-17,60
2025-10-19,66
2025-10-20,65
2025-10-21,65
2025-10-22,65
2025-10-23,66
2025-10-24,66
2025-10-25,66
2025-10-26,66
2025-10-27,67
2025-10-28,67
2025-10-29,68
2025-10-30,68
2025-10-31,68
2025-11-01,69
2025-11-02,69
2025-11-03,70
2025-11-04,71
2025-11-05,72
2025-11-06,73
2025-11-07,74
2025-11-08,74
2025-11-09,74
2025-11-10,74
2025-11-11,75
2025-11-12,75
2025-11-13,75
2025-11-14,77
2025-11-15,77
2025-11-16,77
2025-11-17,77
2025-11-18,78
2025-11-20,81
2025-11-21,81
2025-11-22,81
