date,total,unique
2025-06-16,22,4
2025-06-17,22,4
2025-06-18,22,4
2025-06-19,22,4
2025-06-20,22,4
2025-06-21,22,4
2025-06-22,22,4
2025-06-23,22,4
2025-06-24,22,4
2025-06-25,22,4
2025-06-26,22,4
2025-06-27,22,4
2025-06-28,22,4
2025-06-29,22,4
2025-06-30,22,4
2025-07-01,22,4
2025-07-02,22,4
2025-07-03,22,4
2025-07-04,22,4
2025-07-05,22,4
2025-07-06,22,4
2025-07-07,22,4
2025-07-08,22,4
2025-07-09,22,4
2025-07-10,22,4
2025-07-11,22,4
2025-07-12,22,4
2025-07-13,22,4
2025-07-14,22,4
2025-07-15,22,4
2025-07-16,22,4
2025-07-17,22,4
2025-10-19,25,5
